Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
69,ATNM,Healthcare,Biotechnology,NYSE MKT,176.28,98,99,95,55
70,EDU,Consumer Defensive,Education & Training Services,NYSE,175.66,98,98,95,92
71,VECT,Healthcare,Biotechnology,NASDAQ,175.59,98,98,48,71
72,EXTR,Technology,Communication Equipment,NASDAQ,175.58,98,98,94,39
73,SXTC,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,175.55,98,99,99,99
74,LYTS,Technology,Electronic Components,NASDAQ,174.93,98,97,93,55
75,MOD,Consumer Cyclical,Auto Parts,NYSE,174.83,98,99,96,85
76,CELH,Consumer Defensive,Beverages—Non-Alcoholic,NASDAQ,174.7,98,94,98,50
77,AGFS,Consumer Defensive,Farm Products,NASDAQ,174.2,98,98,29,59
78,MTR,Energy,Oil & Gas E&P,NYSE,174.18,98,99,99,99
79,ASRT,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,174.07,98,88,94,99
80,MICT,Technology,Computer Hardware,NASDAQ,173.5,98,63,40,35
81,MNSO,Consumer Cyclical,Specialty Retail,NYSE,173.08,98,61,10,34
82,ETNB,Healthcare,Biotechnology,NASDAQ,171.4,98,99,94,13
83,FUTU,Financial Services,Capital Markets,NASDAQ,171.23,98,85,38,63
84,AVDL,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,171.2,98,94,93,4
85,PDD,Consumer Cyclical,Internet Retail,NASDAQ,171.19,98,93,86,67
86,GOCO,Financial Services,Insurance Brokers,NASDAQ,170.47,98,7,2,1
87,PI,Technology,Communication Equipment,NASDAQ,170.31,98,98,97,46
88,TPL,Energy,Oil & Gas E&P,NYSE,170.1,98,99,95,92
89,TNP,Energy,Oil & Gas Midstream,NYSE,169.41,98,99,99,90
90,OLK,Healthcare,Diagnostics & Research,NASDAQ,169.33,98,95,80,14
91,ACER,Healthcare,Biotechnology,NASDAQ,168.31,98,18,16,14
92,TME,Communication Services,Internet Content & Information,NYSE,168.12,98,35,34,32
93,PBT,Energy,Oil & Gas E&P,NYSE,168.02,98,99,98,99
94,ARL,Real Estate,Real Estateâ€”Development,NYSE,167.76,98,95,74,98
95,WLFC,Industrials,Rental & Leasing Services,NASDAQ,167.74,98,86,71,80
