Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
996,CAPL,Energy,Oil & Gas Refining & Marketing,NYSE,114.24,82,70,84,90
997,INTT,Technology,Semiconductors,NYSE MKT,114.2,82,59,46,20
998,EMR,Industrials,Specialty Industrial Machinery,NYSE,114.2,82,81,43,53
999,ASB,Financial Services,Banksâ€”Regional,NYSE,114.19,82,87,77,58
1000,KMB,Consumer Defensive,Household & Personal Products,NYSE,114.19,82,57,59,86
1001,PM,Consumer Defensive,Tobacco,NYSE,114.18,82,56,71,91
1002,NVS,Healthcare,Drug Manufacturers—General,NYSE,114.17,82,66,60,74
1003,RRR,Consumer Cyclical,Resorts & Casinos,NASDAQ,114.17,82,63,60,34
1004,VSEC,Industrials,Aerospace & Defense,NASDAQ,114.17,82,84,51,35
1005,CUTR,Healthcare,Medical Devices,NASDAQ,114.14,82,57,91,60
1006,SPTN,Consumer Defensive,Food Distribution,NASDAQ,114.13,82,87,85,96
1007,MBCN,Financial Services,Banks—Regional,NASDAQ,114.12,82,86,87,91
1008,RIG,Energy,Oil & Gas Drilling,NYSE,114.12,82,93,38,66
1009,KRYS,Healthcare,Biotechnology,NASDAQ,114.11,82,93,86,88
1010,VLN,Technology,Semiconductors,NYSE,114.09,82,34,42,15
1011,NOVT,Technology,Scientific & Technical Instruments,NASDAQ,114.07,82,81,51,45
1012,FREQ,Healthcare,Biotechnology,NASDAQ,114.07,82,61,79,3
1013,AM,Energy,Oil & Gas Midstream,NYSE,114.06,82,88,85,71
1014,EOG,Energy,Oil & Gas E&P,NYSE,114.05,82,97,95,96
1015,MDU,Basic Materials,Building Materials,NYSE,114.04,82,81,84,76
1016,AMSF,Financial Services,Insuranceâ€”Specialty,NASDAQ,114.03,82,85,57,75
1017,FCX,Basic Materials,Copper,NYSE,114.03,82,83,28,43
1018,SKX,Consumer Cyclical,Footwear & Accessories,NYSE,114.03,82,52,44,54
1019,HCA,Healthcare,Medical Care Facilities,NYSE,114.02,82,70,60,35
1020,UONEK,Communication Services,Broadcasting,NASDAQ,113.99,82,55,70,90
1021,LBAI,Financial Services,Banks—Regional,NASDAQ,113.97,82,87,74,62
1022,AQUA,Industrials,Pollution & Treatment Controls,NYSE,113.97,82,65,59,41
1023,SJI,Utilities,Utilities—Diversified,NYSE,113.95,82,91,91,97
1024,SXI,Industrials,Specialty Industrial Machinery,NYSE,113.95,82,76,39,52
1025,GER,Financial Services,Asset Management,NYSE,113.94,82,88,92,86
1026,REFR,Technology,Electronic Components,NASDAQ,113.92,82,91,93,47
1027,MMS,Industrials,Specialty Business Services,NYSE,113.91,82,45,37,42
1028,UNH,Healthcare,Healthcare Plans,NYSE,113.89,82,80,88,92
1029,LITB,Consumer Cyclical,Internet Retail,NYSE,113.88,82,57,41,66
1030,NBR,Energy,Oil & Gas Drilling,NYSE,113.88,82,98,87,95
1031,CSPI,Technology,Information Technology Services,NASDAQ,113.86,82,57,70,85
1032,MOFG,Financial Services,Banks—Regional,NASDAQ,113.85,82,86,74,75
1033,APO,Financial Services,Asset Management,NYSE,113.85,82,81,59,48
1034,YUM,Consumer Cyclical,Restaurants,NYSE,113.84,82,79,60,69
1035,IMO,Energy,Oil & Gas Integrated,NYSE MKT,113.83,82,96,92,98
1036,HDB,Financial Services,Banks—Regional,NYSE,113.83,82,83,82,58
1037,NAVI,Financial Services,Credit Services,NASDAQ,113.82,82,51,36,36
1038,GEF,Consumer Cyclical,Packaging & Containers,NYSE,113.8,82,84,83,77
1039,CGTX,Healthcare,Biotechnology,NASDAQ,113.8,82,6,12,3
1040,IRL,Financial Services,Asset Management,NYSE,113.79,82,68,27,45
1041,DGX,Healthcare,Diagnostics & Research,NYSE,113.78,82,85,37,70
1042,FL,Consumer Cyclical,Footwear & Accessories,NYSE,113.77,82,52,89,37
1043,CVLT,Technology,Software—Application,NASDAQ,113.76,82,83,27,60
1044,HAFC,Financial Services,Banks—Regional,NASDAQ,113.72,82,82,89,90
1045,TPX,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NYSE,113.71,82,66,44,21
1046,PGC,Financial Services,Banks—Regional,NASDAQ,113.71,82,90,79,67
1047,R,Industrials,Rental & Leasing Services,NYSE,113.69,82,84,53,69
1048,CEN,Financial Services,Asset Management,NYSE,113.68,81,81,93,93
1049,TRC,Industrials,Conglomerates,NYSE,113.68,81,78,56,64
1050,MCFT,Consumer Cyclical,Recreational Vehicles,NASDAQ,113.66,81,59,44,53
1051,RL,Consumer Cyclical,Apparel Manufacturing,NYSE,113.65,81,61,46,48
1052,BLMN,Consumer Cyclical,Restaurants,NASDAQ,113.65,81,88,82,37
1053,CB,Financial Services,Insurance—Property & Casualty,NYSE,113.64,81,78,63,88
1054,YTRA,Consumer Cyclical,Travel Services,NASDAQ,113.63,81,78,98,91
1055,WTTR,Energy,Oil & Gas Equipment & Services,NYSE,113.6,81,95,82,82
1056,DNUT,Consumer Defensive,Grocery Stores,NASDAQ,113.6,81,66,38,55
1057,DD,Basic Materials,Specialty Chemicals,NYSE,113.58,81,77,31,39
1058,AEIS,Industrials,Electrical Equipment & Parts,NASDAQ,113.58,81,80,81,45
1059,PAGP,Energy,Oil & Gas Midstream,NASDAQ,113.54,81,90,93,74
1060,CEM,Financial Services,Asset Management,NYSE,113.51,81,88,92,85
1061,LEN,Consumer Cyclical,Residential Construction,NYSE,113.44,81,66,50,35
1062,VEON,Communication Services,Telecom Services,NASDAQ,113.41,81,14,5,13
1063,COLM,Consumer Cyclical,Apparel Manufacturing,NASDAQ,113.4,81,56,34,41
1064,BGR,Financial Services,Asset Management,NYSE,113.39,81,92,89,93
1065,RRBI,Financial Services,Banks—Regional,NASDAQ,113.38,81,81,50,89
1066,GRF,Financial Services,Asset Management,NYSE MKT,113.38,81,64,56,88
1067,HTLD,Industrials,Trucking,NASDAQ,113.38,81,64,55,60
1068,SIM,Basic Materials,Steel,NYSE MKT,113.36,81,71,85,95
1069,UTMD,Healthcare,Medical Instruments & Supplies,NASDAQ,113.34,81,61,62,73
1070,CARA,Healthcare,Biotechnology,NASDAQ,113.32,81,69,59,28
1071,UL,Consumer Defensive,Household & Personal Products,NYSE,113.3,81,61,58,64
1072,SIGI,Financial Services,Insurance—Property & Casualty,NASDAQ,113.25,81,89,74,76
1073,FTEK,Industrials,Pollution & Treatment Controls,NASDAQ,113.24,81,47,58,40
1074,VTRS,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,113.24,81,56,31,62
1075,NATH,Consumer Cyclical,Restaurants,NASDAQ,113.23,81,89,92,65
1076,LECO,Industrials,Tools & Accessories,NASDAQ,113.22,81,80,79,71
1077,BCBP,Financial Services,Banks—Regional,NASDAQ,113.22,81,86,86,95
1078,TFII,Industrials,Trucking,NYSE,113.2,81,77,79,33
1079,EGO,Basic Materials,Gold,NYSE,113.18,81,47,16,35
1080,AXNX,Healthcare,Medical Devices,NASDAQ,113.18,81,79,96,60
1081,SCM,Financial Services,Asset Management,NYSE,113.16,81,82,86,64
1082,JJSF,Consumer Defensive,Packaged Foods,NASDAQ,113.15,81,56,58,59
1083,KVHI,Technology,Communication Equipment,NASDAQ,113.15,81,91,89,56
1084,SOHOB,Real Estate,REIT—Hotel & Motel,NASDAQ,113.13,81,92,95,70
1085,INMD,Healthcare,Medical Devices,NASDAQ,113.08,81,64,43,11
1086,RACE,Consumer Cyclical,Auto Manufacturers,NYSE,113.03,81,69,59,58
1087,PRI,Financial Services,Insurance—Life,NYSE,113.02,81,65,65,52
1088,GENI,Communication Services,Internet Content & Information,NYSE,113.01,81,50,82,5
1089,ASH,Basic Materials,Specialty Chemicals,NYSE,113.0,81,80,78,90
1090,ETN,Industrials,Specialty Industrial Machinery,NYSE,112.99,81,82,58,51
1091,RPTX,Healthcare,Biotechnology,NASDAQ,112.98,81,95,23,31
1092,DCO,Industrials,Aerospace & Defense,NYSE,112.91,81,83,44,52
1093,CTVA,Basic Materials,Agricultural Inputs,NYSE,112.91,81,90,93,93
1094,UAN,Basic Materials,Agricultural Inputs,NYSE,112.87,81,94,97,98
1095,TLYS,Consumer Cyclical,Apparel Retail,NYSE,112.84,81,56,23,24
1096,OM,Healthcare,Medical Devices,NASDAQ,112.84,81,17,19,4
1097,GSAT,Communication Services,Telecom Services,NYSE MKT,112.83,81,97,96,55
1098,GATX,Industrials,Rental & Leasing Services,NYSE,112.83,81,79,66,70
1099,CHS,Consumer Cyclical,Apparel Retail,NYSE,112.82,81,92,66,91
1100,VABK,Financial Services,Banks—Regional,NASDAQ,112.8,81,76,80,57
1101,CNO,Financial Services,Insurance—Life,NYSE,112.79,81,81,49,38
1102,LBRT,Energy,Oil & Gas Equipment & Services,NYSE,112.77,81,97,88,87
1103,YEXT,Technology,Software—Infrastructure,NYSE,112.76,81,38,16,19
1104,NDAQ,Financial Services,Financial Data & Stock Exchanges,NASDAQ,112.76,81,87,82,54
1105,OTIS,Industrials,Specialty Industrial Machinery,NYSE,112.76,81,59,42,58
1106,CNCE,Healthcare,Biotechnology,NASDAQ,112.76,81,83,99,93
1107,PKE,Industrials,Aerospace & Defense,NYSE,112.75,81,64,36,69
1108,ARCO,Consumer Cyclical,Restaurants,NYSE,112.73,80,81,90,93
1109,DTM,Energy,Oil & Gas Midstream,NYSE,112.72,80,89,91,90
1110,PFMT,Industrials,Specialty Business Services,NASDAQ,112.71,80,62,19,62
1111,TRGP,Energy,Oil & Gas Midstream,NYSE,112.71,80,89,93,93
1112,PVH,Consumer Cyclical,Apparel Manufacturing,NYSE,112.7,80,27,17,26
1113,SMPL,Consumer Defensive,Packaged Foods,NASDAQ,112.68,80,76,28,82
1114,PTC,Technology,Software—Application,NASDAQ,112.66,80,87,77,64
1115,TOWN,Financial Services,Banks—Regional,NASDAQ,112.66,80,82,63,71
1116,WAVE,Utilities,Utilities—Independent Power Producers,NASDAQ,112.65,80,23,31,33
1117,PPIH,Industrials,Building Products & Equipment,NASDAQ,112.63,80,66,89,66
1118,PRK,Financial Services,Banks—Regional,NYSE MKT,112.58,80,87,81,72
1119,CNXN,Technology,Electronics & Computer Distribution,NASDAQ,112.53,80,78,64,70
1120,AROC,Energy,Oil & Gas Equipment & Services,NYSE,112.52,80,87,50,88
1121,AVAV,Industrials,Aerospace & Defense,NASDAQ,112.52,80,86,89,72
1122,ONB,Financial Services,Banks—Regional,NASDAQ,112.51,80,84,83,64
1123,VGR,Consumer Defensive,Tobacco,NYSE,112.51,80,49,31,62
1124,ITW,Industrials,Specialty Industrial Machinery,NYSE,112.5,80,79,58,54
1125,KRUS,Consumer Cyclical,Restaurants,NASDAQ,112.49,80,88,97,61
1126,UCTT,Technology,Semiconductor Equipment & Materials,NASDAQ,112.47,80,45,20,23
1127,NNN,Real Estate,REIT—Retail,NYSE,112.47,80,71,79,73
1128,ISTR,Financial Services,Banks—Regional,NASDAQ,112.47,80,83,66,93
1129,JNPR,Technology,Communication Equipment,NYSE,112.46,80,68,50,67
1130,SCL,Basic Materials,Specialty Chemicals,NYSE,112.46,80,58,49,65
1131,CVCY,Financial Services,Banks—Regional,NASDAQ,112.42,80,78,65,33
1132,SCHW,Financial Services,Capital Markets,NYSE,112.4,80,76,74,43
1133,MAG,Basic Materials,Silver,NYSE MKT,112.38,80,82,31,35
1134,WMT,Consumer Defensive,Discount Stores,NYSE,112.36,80,71,71,59
1135,BGCP,Financial Services,Capital Markets,NASDAQ,112.32,80,65,77,31
1136,CMBM,Technology,Communication Equipment,NASDAQ,112.32,80,87,35,15
1137,KNX,Industrials,Trucking,NYSE,112.3,80,62,55,57
1138,NSSC,Industrials,Security & Protection Services,NASDAQ,112.3,80,95,97,72
1139,SAP,Technology,Software—Application,NYSE,112.28,80,80,23,41
1140,CCLP,Energy,Oil & Gas Equipment & Services,NASDAQ,112.27,80,60,47,65
1141,FROG,Technology,Software—Application,NASDAQ,112.27,80,58,33,29
1142,WINA,Consumer Cyclical,Specialty Retail,NASDAQ,112.27,80,87,78,62
1143,MMC,Financial Services,Insurance Brokers,NYSE,112.27,80,75,74,74
1144,FGF,Financial Services,Insurance—Diversified,NASDAQ,112.27,80,83,28,7
1145,FHI,Financial Services,Asset Management,NYSE,112.2,80,80,83,66
1146,SRE,Utilities,Utilities—Diversified,NYSE,112.2,80,81,92,89
1147,CPRT,Industrials,Specialty Business Services,NASDAQ,112.19,80,57,42,46
1148,FULT,Financial Services,Banks—Regional,NASDAQ,112.16,80,87,84,68
1149,ALT,Healthcare,Biotechnology,NASDAQ,112.15,80,90,97,79
1150,HLI,Financial Services,Capital Markets,NYSE,112.15,80,70,49,62
1151,BSY,Technology,Software—Application,NASDAQ,112.14,80,57,31,26
1152,BANF,Financial Services,Banks—Regional,NASDAQ,112.1,80,87,94,98
1153,NVEE,Industrials,Engineering & Construction,NASDAQ,112.09,80,93,90,71
1154,TCFC,Financial Services,Banks—Regional,NASDAQ,112.08,80,78,48,74
1155,CORR,Real Estate,REIT—Diversified,NYSE,112.07,80,28,20,32
1156,RVSB,Financial Services,Banks—Regional,NASDAQ,112.06,80,76,58,67
1157,GPI,Consumer Cyclical,Auto & Truck Dealerships,NYSE,112.06,80,69,41,72
1158,FGBI,Financial Services,Banks—Regional,NASDAQ,112.05,80,81,76,97
1159,MSBI,Financial Services,Banks—Regional,NASDAQ,112.05,80,75,74,74
1160,NBHC,Financial Services,Banks—Regional,NYSE,112.05,80,89,66,76
1161,WMG,Communication Services,Entertainment,NASDAQ,112.04,80,38,33,28
1162,SSNT,Technology,Software—Application,NASDAQ,112.02,80,85,25,15
1163,OC,Industrials,Building Products & Equipment,NYSE,112.02,80,68,57,50
1164,TMUS,Communication Services,Telecom Services,NASDAQ,112.01,80,86,86,89
1165,BWA,Consumer Cyclical,Auto Parts,NYSE,112.01,80,78,60,58
1166,INT,Energy,Oil & Gas Refining & Marketing,NYSE,112.0,79,76,75,35
1167,PRMW,Consumer Defensive,Beverages—Non-Alcoholic,NYSE,111.99,79,53,52,51
1168,DMRC,Technology,Information Technology Services,NASDAQ,111.98,79,55,21,14
1169,AXL,Consumer Cyclical,Auto Parts,NYSE,111.98,79,81,79,72
1170,BVN,Basic Materials,Other Precious Metals & Mining,NYSE,111.97,79,83,28,57
1171,FDBC,Financial Services,Banks—Regional,NASDAQ,111.96,79,86,55,45
1172,M,Consumer Cyclical,Department Stores,NYSE,111.96,79,51,23,57
1173,ORI,Financial Services,Insurance—Diversified,NYSE,111.96,79,78,72,64
1174,TYG,Financial Services,Asset Management,NYSE,111.95,79,83,93,85
1175,IRM,Real Estate,REIT—Specialty,NYSE,111.94,79,84,91,88
1176,PLAB,Technology,Semiconductor Equipment & Materials,NASDAQ,111.94,79,76,44,97
1177,CALT,Healthcare,Biotechnology,NASDAQ,111.86,79,33,28,53
1178,SHLS,Technology,Solar,NASDAQ,111.85,79,91,81,35
1179,DOOO,Consumer Cyclical,Recreational Vehicles,NASDAQ,111.85,79,40,52,46
1180,AEL,Financial Services,Insuranceâ€”Life,NYSE,111.82,79,53,82,91
1181,ALE,Utilities,Utilitiesâ€”Diversified,NYSE,111.8,79,61,60,67
1182,ATO,Utilities,Utilities—Regulated Gas,NYSE,111.8,79,76,88,91
1183,WMB,Energy,Oil & Gas Midstream,NYSE,111.79,79,84,89,94
1184,IPG,Communication Services,Advertising Agencies,NYSE,111.78,79,70,37,44
1185,NABL,Technology,Information Technology Services,NYSE,111.74,79,84,44,61
1186,NXGN,Healthcare,Health Information Services,NASDAQ,111.73,79,86,62,76
1187,XPEL,Consumer Cyclical,Auto Parts,NASDAQ,111.69,79,59,88,30
1188,CDW,Technology,Information Technology Services,NASDAQ,111.68,79,76,64,64
1189,LKQ,Consumer Cyclical,Auto Parts,NASDAQ,111.66,79,64,65,79
1190,VOXX,Technology,Consumer Electronics,NASDAQ,111.66,79,81,24,43
1191,KMPR,Financial Services,Insurance—Property & Casualty,NYSE,111.64,79,86,46,40
1192,WTS,Industrials,Specialty Industrial Machinery,NYSE,111.64,79,65,45,41
1193,XPO,Industrials,Integrated Freight & Logistics,NYSE,111.62,79,81,25,21
1194,TAK,Healthcare,Drug Manufacturers—Specialty & Generic,NYSE,111.59,79,58,52,63
1195,PLSE,Healthcare,Medical Instruments & Supplies,NASDAQ,111.57,79,23,2,0
1196,FDUS,Financial Services,Asset Management,NASDAQ,111.55,79,86,85,79
1197,TCBC,Financial Services,Banks—Regional,NASDAQ,111.54,79,86,80,83
1198,RNGR,Energy,Oil & Gas Equipment & Services,NYSE,111.53,79,88,69,89
1199,CFBK,Financial Services,Banks—Regional,NASDAQ,111.53,79,87,83,89
1200,LHCG,Healthcare,Medical Care Facilities,NASDAQ,111.53,79,86,83,86
1201,OOMA,Communication Services,Telecom Services,NYSE,111.51,79,79,38,30
1202,APLE,Real Estate,REITâ€”Hotel & Motel,NYSE,111.5,79,70,76,64
1203,UBS,Financial Services,Banks—Diversified,NYSE,111.48,79,80,65,74
1204,WTM,Financial Services,Insurance—Property & Casualty,NYSE,111.47,79,88,93,95
1205,ZBH,Healthcare,Medical Devices,NYSE,111.44,79,62,61,48
1206,AEG,Financial Services,Insuranceâ€”Diversified,NYSE,111.43,79,64,75,78
1207,DRD,Basic Materials,Gold,NYSE,111.42,79,49,18,31
1208,TWI,Industrials,Farm & Heavy Construction Machinery,NYSE,111.41,79,92,90,99
1209,WEX,Technology,Software—Infrastructure,NYSE,111.41,79,77,56,68
1210,ISDR,Technology,Information Technology Services,NYSE MKT,111.39,79,85,26,37
1211,SWKH,Financial Services,Asset Management,NASDAQ,111.38,79,77,38,88
1212,VNCE,Consumer Cyclical,Apparel Manufacturing,NYSE,111.35,79,55,32,59
1213,BHLB,Financial Services,Banks—Regional,NYSE,111.35,79,83,88,66
1214,AXS,Financial Services,Insurance—Property & Casualty,NYSE,111.33,79,71,78,93
1215,OR,Basic Materials,Gold,NYSE,111.33,79,89,34,60
1216,VLGEA,Consumer Defensive,Grocery Stores,NASDAQ,111.32,79,62,60,77
1217,SCI,Consumer Cyclical,Personal Services,NYSE,111.32,79,79,53,92
1218,PKX,Basic Materials,Steel,NYSE,111.31,79,65,19,32
1219,APH,Technology,Electronic Components,NYSE,111.3,79,77,75,57
1220,OKE,Energy,Oil & Gas Midstream,NYSE,111.3,79,80,84,68
1221,SPG,Real Estate,REIT—Retail,NYSE,111.27,79,60,39,36
1222,EPC,Consumer Defensive,Household & Personal Products,NYSE,111.27,79,67,77,60
1223,NWBI,Financial Services,Banks—Regional,NASDAQ,111.26,79,84,88,76
1224,STT,Financial Services,Asset Management,NYSE,111.25,78,73,52,37
1225,TECK,Basic Materials,Other Industrial Metals & Mining,NYSE,111.22,78,77,74,95
1226,GIB,Technology,Information Technology Services,NYSE,111.22,78,65,58,64
1227,BWB,Financial Services,Banks—Regional,NASDAQ,111.21,78,86,81,72
1228,BSET,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,111.21,78,84,85,66
1229,BYRN,Industrials,Aerospace & Defense,NASDAQ,111.2,78,31,11,21
1230,COKE,Consumer Defensive,Beverages—Non-Alcoholic,NASDAQ,111.2,78,43,42,93
1231,NFBK,Financial Services,Banks—Regional,NASDAQ,111.17,78,76,82,55
1232,VLYPO,Financial Services,Banks—Regional,NASDAQ,111.14,78,80,75,68
1233,NSIT,Technology,Information Technology Services,NASDAQ,111.12,78,74,41,56
1234,PFIS,Financial Services,Banks—Regional,NASDAQ,111.12,78,88,69,94
1235,OMEX,Industrials,Specialty Business Services,NASDAQ,111.11,78,19,9,14
1236,KO,Consumer Defensive,Beverages—Non-Alcoholic,NYSE,111.09,78,66,77,92
1237,OEC,Basic Materials,Specialty Chemicals,NYSE,111.08,78,78,57,55
1238,ABCB,Financial Services,Banksâ€”Regional,NASDAQ,111.06,78,85,83,62
1239,DVN,Energy,Oil & Gas E&P,NYSE,111.05,78,96,98,98
1240,CTR,Financial Services,Asset Management,NYSE,111.05,78,89,92,88
1241,CNQ,Energy,Oil & Gas E&P,NYSE,111.03,78,94,93,96
1242,UBA,Real Estate,REIT—Retail,NYSE,111.03,78,79,54,58
1243,AON,Financial Services,Insurance Brokers,NYSE,110.98,78,69,66,64
1244,IR,Industrials,Specialty Industrial Machinery,NYSE,110.96,78,81,59,49
1245,AGIO,Healthcare,Biotechnology,NASDAQ,110.96,78,75,92,16
1246,ADTN,Technology,Communication Equipment,NASDAQ,110.95,78,52,64,67
1247,VMC,Basic Materials,Building Materials,NYSE,110.91,78,66,56,47
1248,AMCR,Consumer Cyclical,Packaging & Containers,NYSE,110.91,78,54,70,91
1249,CHKP,Technology,Software—Infrastructure,NASDAQ,110.9,78,81,57,73
1250,ATNI,Communication Services,Telecom Services,NASDAQ,110.87,78,87,68,93
1251,ITCB,Financial Services,Banks—Regional,NYSE,110.82,78,81,74,68
1252,STRRP,Healthcare,Diagnostics & Research,NASDAQ,110.81,78,84,89,94
1253,CR,Industrials,Specialty Industrial Machinery,NYSE,110.8,78,76,63,63
1254,DIT,Consumer Defensive,Food Distribution,NYSE MKT,110.8,78,84,92,78
1255,MXF,Financial Services,Asset Management,NYSE,110.79,78,77,51,71
1256,ORRF,Financial Services,Banks—Regional,NASDAQ,110.79,78,81,83,93
1257,TXT,Industrials,Aerospace & Defense,NYSE,110.79,78,76,53,51
1258,WIX,Technology,Software—Infrastructure,NASDAQ,110.75,78,55,31,10
1259,MRNA,Healthcare,Biotechnology,NASDAQ,110.73,78,79,22,22
1260,CWT,Utilities,Utilities—Regulated Water,NYSE,110.71,78,78,78,57
1261,UCBI,Financial Services,Banks—Regional,NASDAQ,110.71,78,86,84,68
1262,PFSI,Financial Services,Mortgage Finance,NYSE,110.7,78,69,79,32
1263,MPLX,Energy,Oil & Gas Midstream,NYSE,110.68,78,84,90,78
1264,HUSA,Energy,Oil & Gas E&P,NYSE MKT,110.68,78,99,95,99
1265,ED,Utilities,Utilities—Regulated Electric,NYSE,110.68,78,68,91,94
1266,AEM,Basic Materials,Gold,NYSE,110.67,78,63,28,62
1267,JPM,Financial Services,Banks—Diversified,NYSE,110.64,78,75,41,44
1268,KEQU,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,110.64,78,83,95,90
1269,MXE,Financial Services,Asset Management,NYSE,110.61,78,82,41,47
1270,ORMP,Healthcare,Biotechnology,NASDAQ,110.61,78,33,89,5
1271,MAN,Industrials,Staffing & Employment Services,NYSE,110.61,78,53,27,46
1272,CGBD,Financial Services,Asset Management,NASDAQ,110.61,78,80,85,77
1273,MATW,Industrials,Conglomerates,NASDAQ,110.61,78,45,26,57
1274,WLK,Basic Materials,Specialty Chemicals,NYSE,110.6,78,79,49,74
1275,BRN,Energy,Oil & Gas E&P,NYSE MKT,110.59,78,84,91,70
1276,THW,Financial Services,Asset Management,NYSE,110.55,78,56,68,74
1277,PFBC,Financial Services,Banks—Regional,NASDAQ,110.55,78,79,76,79
1278,ABM,Industrials,Specialty Business Services,NYSE,110.54,78,62,59,76
1279,SWAV,Healthcare,Medical Devices,NASDAQ,110.53,78,92,98,70
1280,KT,Communication Services,Telecom Services,NYSE,110.52,78,67,51,84
1281,CDAY,Technology,Software—Application,NYSE,110.5,78,48,47,17
1282,UNF,Industrials,Specialty Business Services,NYSE,110.49,77,78,53,44
1283,CPAC,Basic Materials,Building Materials,NYSE,110.49,77,76,34,52
1284,MTDR,Energy,Oil & Gas E&P,NYSE,110.48,77,97,95,96
1285,MSM,Industrials,Industrial Distribution,NYSE,110.47,77,76,65,66
1286,NGVT,Basic Materials,Specialty Chemicals,NYSE,110.46,77,85,60,64
1287,SMFG,Financial Services,Banks—Diversified,NYSE,110.46,77,54,51,58
1288,TPR,Consumer Cyclical,Luxury Goods,NYSE,110.45,77,56,45,46
1289,SEIC,Financial Services,Asset Management,NASDAQ,110.43,77,79,54,63
1290,CLX,Consumer Defensive,Household & Personal Products,NYSE,110.42,77,55,74,60
1291,MA,Financial Services,Credit Services,NYSE,110.42,77,57,54,66
1292,AMNB,Financial Services,Banksâ€”Regional,NASDAQ,110.37,77,79,65,86
1293,BTI,Consumer Defensive,Tobacco,NYSE,110.36,77,59,77,94
1294,EXPD,Industrials,Integrated Freight & Logistics,NASDAQ,110.35,77,67,35,54
1295,RSSS,Technology,Information Technology Services,NASDAQ,110.34,77,54,51,39
1296,LGND,Healthcare,Biotechnology,NASDAQ,110.33,77,90,35,26
1297,JBSS,Consumer Defensive,Packaged Foods,NASDAQ,110.32,77,82,70,55
1298,EXP,Basic Materials,Building Materials,NYSE,110.28,77,59,40,45
1299,ITCI,Healthcare,Biotechnology,NASDAQ,110.27,77,76,79,94
1300,HD,Consumer Cyclical,Home Improvement Retail,NYSE,110.27,77,57,40,50
1301,NVGS,Energy,Oil & Gas Midstream,NYSE,110.25,77,90,88,93
1302,SAMG,Financial Services,Asset Management,NASDAQ,110.22,77,66,80,88
1303,BAP,Financial Services,Banks—Regional,NYSE,110.22,77,89,77,71
1304,MNOV,Healthcare,Biotechnology,NASDAQ,110.2,77,38,30,52
1305,TTNP,Healthcare,Biotechnology,NASDAQ,110.18,77,41,97,10
1306,SUZ,Basic Materials,Paper & Paper Products,NYSE,110.14,77,85,28,50
1307,BRKR,Healthcare,Medical Devices,NASDAQ,110.14,77,83,24,56
1308,SYK,Healthcare,Medical Devices,NYSE,110.13,77,55,57,40
1309,HIE,Financial Services,Asset Management,NYSE,110.09,77,78,82,70
1310,AVNW,Technology,Communication Equipment,NASDAQ,110.08,77,57,85,53
1311,ALL,Financial Services,Insuranceâ€”Property & Casualty,NYSE,110.08,77,82,80,74
1312,CLOE,Financial Services,Shell Companies,NASDAQ,110.04,77,77,74,84
1313,MLR,Consumer Cyclical,Auto Parts,NYSE,110.03,77,78,31,37
1314,PNM,Utilities,Utilities—Regulated Electric,NYSE,110.03,77,73,79,78
1315,CHDN,Consumer Cyclical,Gambling,NASDAQ,110.01,77,77,55,47
1316,CLW,Basic Materials,Paper & Paper Products,NYSE,110.0,77,62,91,92
1317,ODFL,Industrials,Trucking,NASDAQ,110.0,77,78,46,43
1318,FWRD,Industrials,Integrated Freight & Logistics,NASDAQ,109.98,77,87,62,62
1319,SMLP,Energy,Oil & Gas Midstream,NYSE,109.97,77,69,33,36
1320,LAZ,Financial Services,Capital Markets,NYSE,109.96,77,77,72,47
1321,AKYA,Healthcare,Medical Instruments & Supplies,NASDAQ,109.95,77,85,66,31
1322,WAT,Healthcare,Diagnostics & Research,NYSE,109.94,77,68,32,65
1323,PH,Industrials,Specialty Industrial Machinery,NYSE,109.93,77,78,59,55
1324,PINE,Real Estate,REIT—Retail,NYSE,109.9,77,71,77,74
1325,FDP,Consumer Defensive,Farm Products,NYSE,109.86,77,70,62,63
1326,HSIC,Healthcare,Medical Distribution,NASDAQ,109.86,77,67,50,71
1327,SYY,Consumer Defensive,Food Distribution,NYSE,109.83,77,77,74,87
1328,GE,Industrials,Specialty Industrial Machinery,NYSE,109.83,77,66,30,29
1329,MS,Financial Services,Capital Markets,NYSE,109.83,77,66,76,48
1330,AMN,Healthcare,Medical Care Facilities,NYSE,109.81,77,86,64,73
1331,SPXX,Financial Services,Asset Management,NYSE,109.79,77,81,68,62
1332,EBTC,Financial Services,Banks—Regional,NASDAQ,109.79,77,51,41,57
1333,WTT,Technology,Communication Equipment,NYSE MKT,109.78,77,59,60,28
1334,XPRO,Energy,Oil & Gas Equipment & Services,NYSE,109.75,77,97,67,28
1335,CCF,Basic Materials,Specialty Chemicals,NYSE MKT,109.73,77,67,60,42
1336,HXL,Industrials,Aerospace & Defense,NYSE,109.73,77,68,84,60
1337,VOR,Healthcare,Biotechnology,NASDAQ,109.72,77,19,14,14
1338,TAP,Consumer Defensive,Beverages—Brewers,NYSE,109.72,77,64,80,92
