Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
74,Chemicals,Basic Materials,97.67,54,62,87,86,"SQM,VHI,LXU,ZY,APD,WLKP,FF,RYAM,ASIX,UNVR,HUN,MTX,MEOH,DOW,EMN,TROX,CE,BAK,MKD"
75,Recreational Vehicles,Consumer Cyclical,97.42,54,27,12,19,"VEEE,VMAR,WGO,HOG,PII,MCFT,LCII,CWH,ONEW,DOOO,THO,MBUU,MPX,FOXF,PATK,EZGO,REE,HLBZ,FUV"
76,Asset Management,Financial Services,97.39,53,59,54,55,"SMM,NML,NDP,MN,BCOR,EMO,PUYI,LGHL,TTP,CTR,CEN,KMF,PEO,GER,TYG,CEM,KYN,NTG,FPL,FIF,FEI,PZN,FDUS,BGR,HYW,SAMG,FEN,FSK,WHF,JCE,SCM,TCPC,MAIN,DMB,MGU,ARCC,SRV,DPG,ATCO,HTD,HFRO,TEAF,NMFC,MCN,CCAP,SZC,GUT,TPZ,ARES,ETB,AINC,OFS,PFLT,PMO,ETV,DNP,UTF,BCSF,ETY,BIT,HIE,TRIN,BUI,FHI,OCCIO,BKCC,BRW,BXMX,BDJ,CGBD,CII,OXLCM,BUR,AB,RA,FT,SCD,RQI,IIF,JXN,DIAX,AMP,UTG,FRA,NAZ,RIV,THW,VCIF,EVT,PDT,MFD,OXLCP,ETJ,IGA,LGI,CBH,PSEC,EVG,BCX,NPV,EOD,RVT,EXD,NMS,IGD,STK,VFL,MIY,DSU,RNP,FOF,IVH,SII,BME,NID,BAM,GDL,GOF,JRO,JFR,CIK,MUE,FGB,PYN,NSL,HEQ,APO,NKX,MQT,FUND,GAIN,OXLCO,BKN,RFI,CSQ,RMT,PNNT,OCCI,JSD,SOR,GAM,BGT,ERH,SPE,CHY,JQC,PNF,AWF,ECCC,JRI,DHIL,PDI,HNNA,CHI,ETX,RMM,BYM,MCI,BTO,PCM,PPT,ETW,VVR,GRX,GIM,EVV,CCD,ARDC,NIQ,TSI,HPF,SPXX,OXSQ,EOI,NBW,OIA,PIM,HPI,MXF,MMD,NFJ,BGB,EFR,CET,EFT,AIF,EOS,FMY,RCG,BGH,IHIT,BTA,HPS,IGR,SWKH,DHY,ETG,MPV,USA,LDP,HQH,SEIC,MUJ,IFN,ADX,NIE,AVK,DBL,BANX,GDV,PFL,PCF,HLNE,JMM,GGT,EVF,GGN,ACV,BTT,OWL,PGZ,JPC,FFA,BLK,MPA,NQP,GLAD,DMO,ISD,NIM,HRZN,BLW,BSL,VCTR,EVN,VINP,AFT,NXC,HIX,VPV,ERC,EXG,JPI,BEN,VLT,THQ,PCN,PNI,TY,FCT,GBDC,CUBA,PMF,JRS,SBI,IDE,NCA,SLRC,BGX,FTF,CLM,CNS,PHD,HYT,MUC,MYI,NMZ,AGD,NAC,GAB,JGH,HQL,NNY,HYB,NAD,AMG,CRF,ETO,FPF,HYI,PCQ,RCS,NVG,NEA,MIN,FSD,GNT,NZF,IIM,CION,NXJ,PFN,NBO,PMM,FFC,PFO,PHK,AOD,PFX,PMX,ECF,MGF,KIO,DTF,MHF,MHI,HIO,NRO,NOM,NTRSO,BOE,KTF,ACP,MUA,WIA,LEO,GRF,BWG,OXLC,JHI,BKT,NXN,NUV,RAND,QQQX,JLS,MUI,NXP,PCK,WEA,GHY,VTN,MMU,HTY,WIW,PML,EGF,HNW,DSM,JPS,MVF,AMK,NHS,NRK,NUW,ENX,IQI,MMT,AFB,IGI,EIM,BTZ,BFZ,EHI,SAR,LRFC,ASG,TSLX,MYD,TURN,MNP,EVM,DHF,MQY,TPVG,MFM,VKI,VMO,EOT,MHD,CXE,NAN,VGM,OPP,PSF,PHT,CEV,PAX,NMI,VKQ,APAM,GDO,KKR,BGY,NBB,CXH,FLC,BHV,DMF,VBF,PFD,DSL,GLU,GCV,JHS,NUO,IAE,AWP,NKG,EAD,BST,NCV,DDF,BCV,MCR,VCV,DFP,FDEU,PAI,DEX,BLE,SWZ,BNY,VRTS,PZC,MAV,ICMB,GLV,VGI,INSI,CMU,MVT,KSM,NBH,STT,IHD,CSWC,NEWT,NMT,BHK,MYN,NCZ,FMN,PHCF,BX,CGO,PTY,GGZ,JOF,PGP,MXE,MHN,CAF,MSD,IAF,CIF,ECC,EDD,BBN,EEA,NTRS,GBAB,BK,MFV,STEP,CHW,FAX,EMD,BFK,RGT,IVZ,GLQ,CHN,JEQ,FEO,WETF,TEI,TROW,EMF,GLO,GCMG,EQS,FAM,AEF,TWN,TDF,IRL,FCRD,FCO,KF,GECC,BSIG,GROW,CG,JHG,EDF,EDI,SFE,CIXX,ASA,NOAH,GF,SSSS,SCU,CEE,SVVC"
77,Insurance—Specialty,Financial Services,97.11,53,65,62,74,"RYAN,MTG,TIPT,RDN,EIG,ICCH,MBI,TRUP,FNF,FAF,ITIC,JRVR,TIG"
78,REIT—Retail,Real Estate,96.93,52,61,75,79,"SRG,GTY,NNN,O,PINE,PECO,BFS,KRG,EPR,UBP,ROIC,KIM,UBA,WSR,SKT,BRX,REG,NTST,FRT,WHLR,WHLRD,SITC,SPG,RPT,MAC,WHLRP,PEI"
79,Building Products & Equipment,Industrials,96.55,51,56,45,49,"CSL,WMS,VIEW,TGLS,NX,PGTI,BECN,BLDR,GMS,BXC,APOG,AAON,PPIH,CSTE,IBP,AWI,JBI,OC,CARR,SSD,DOOR,LPX,MAS,ROCK,APT,AEHL,AZEK,TREX,JELD,ASPN,SWIM"
80,Specialty Industrial Machinery,Industrials,96.33,51,40,31,33,"BWEN,GTLS,PSN,CVV,TPIC,FELE,CSWI,THR,HWM,SPXC,CW,CMI,CR,NDSN,RRX,IEX,HI,EPAC,TT,NPO,WTS,FLS,PH,HON,AME,LII,DCI,TAYD,GHM,GGG,ETN,XYL,IR,KAI,ROK,OTIS,TRS,EMR,SXI,ITW,TNC,ITT,LXFR,MIDD,ROP,AOS,AIMC,MWA,JBT,MMM,OFLX,DOV,ARNC,GE,GNRC,HURC,HLIO,PNR,GTES,B,BLDP,TWIN,CYD,GTEC,GRC,AMSC,CIR,CGRN,PYR,HSC,KRNT,SHPW"
81,Insuranceâ€”Diversified,Financial Services,96.18,50,70,80,76,"ACGL,AIG,ACGLO,AEG,ACGLN"
82,Personal Services,Consumer Cyclical,96.13,49,43,45,24,"HRB,STON,TMX,ROL,RGS,MRM,FRGAP,SCI,FRG,CSV,FTDR,XSPA,MED,BFAM,EM,DSEY,WW"
83,REITâ€”Mortgage,Real Estate,95.71,49,54,59,45,"AGNCN,ARI,ACRE,AGNCP,AGNC,AGNCO,AGNCM,ABR,AAIC,ARR,AOMR,AJX,ACR"
84,Pollution & Treatment Controls,Industrials,95.12,48,29,20,9,"CECE,ERII,FSS,PCT,AQUA,CLWT,FTEK,TOMZ,PCTTU,ADES,CLIR,LIQT"
85,Education & Training Services,Consumer Defensive,94.98,48,87,36,4,"TEDU,AACG,EDU,METX,ATGE,FEDU,PRDO,VTRU,STRA,TAL,VSTA,LINC,LAUR,LRN,LOPE,GHC,AFYA,YQ,STG,COE,WAFU,UTI,GOTU,HLG,ARCE,CHGG,IH,LXEH,BEDU,EEIQ,APEI,EDTK,SKIL,COUR,ASPU,TWOU,AMBO,FHS,CLEU,ZVO"
86,Footwear & Accessories,Consumer Cyclical,94.76,47,32,37,22,"CAL,WEYS,DECK,CROX,FL,SKX,FORD,WWW,NKE,SHOO,RCKY,VRA"
87,Building Materials,Basic Materials,94.73,46,35,34,53,"SMID,MDU,LOMA,MLM,VMC,SUM,EXP,USLM,CPAC,CRH,CX,JHX,RETO"
88,Business Equipment & Supplies,Industrials,94.67,46,68,49,35,"EBF,AVY,SCS,HNI,ACCO,PBI"
89,Department Stores,Consumer Cyclical,94.11,45,9,79,90,"DDS,JWN,M,CBD,KSS"
90,REITâ€”Diversified,Real Estate,93.76,45,56,70,84,"AHH,ALEX,AAT"
91,Packaged Foods,Consumer Defensive,93.71,44,39,30,23,"STKL,LW,PLAG,THS,GIS,LWAY,TWNK,POST,CPB,UTZ,K,CVGW,SJM,HRL,CAG,SOVO,FLO,SENEB,LNDC,JJSF,PPC,SENEA,KHC,BRID,DAR,INGR,NAII,FARM,LANC,MKC,LEXX,MMMB,HLF,JBSS,CENTA,BRBR,CENT,CYAN,BRFS,BGS,SMPL,LFVN,NOMD,HAIN,JVA,FREE,BYND,BTTR,TTCF,RIBT,BRCN,FRPT,LSF,DTEA,NUZE,PETZ,FAMI,SNAX,CLXT"
92,REIT—Diversified,Real Estate,93.55,43,51,74,87,"VICI,CTO,WPC,BRSP,NREF,GOODO,GOOD,GOODN,SQFTP,CLPR,MDRRP,SRC,STOR,EPRT,SQFT,BNL,UE,BRDG,OLP,ESRT,LXP,MDRR,ESBA,DBRG,FISK,SAFE,OGCP,STAR,CORR"
93,Household & Personal Products,Consumer Defensive,93.38,43,35,41,54,"ELF,HIMS,REV,EPC,IPAR,CL,KMB,PG,CLX,COTY,NWL,UL,CHD,EWCZ,EL,NUS,UG,MTEX,USNA,ACU,SPB,SKIN,NATR,HELE,NTCO,TANH,DOGZ"
94,REIT—Mortgage,Real Estate,93.37,42,53,50,40,"LADR,SEVN,LOAN,STWD,BXMT,SACH,KREF,NYMTM,DX,NLY,TWO,PMT,NYMTN,RC,EARN,CHMI,NYMTL,GPMT,TRTX,LFT,WMC,BRMK,NYMT,ORC,IVR,CIM,MFA,MITT,RWT"
95,Luxury Goods,Consumer Cyclical,93.32,41,30,25,51,"BGI,SIG,MOV,TPR,MYTE,CTHR,FOSL"
96,Drug Manufacturersâ€”Specialty & Generic,Healthcare,93.2,41,5,9,9,"AERI,ALIM,AMPH,ANIP,ACRX,AMYT,AQST,AMRX,ADMP,ACB,AGRX"
97,Security & Protection Services,Industrials,92.98,40,45,32,35,"NSSC,NL,CIX,VRRM,ADT,BRC,UUU,ARLO,MSA,BCO,ALLE,REZI,EVLV,VVNT,MG,SNT,BKYI,DGLY,SPCB,VRME"
98,Biotechnology,Healthcare,92.91,40,16,1,1,"RYTM,TRVI,SIGA,COGT,ALT,PLRX,KRTX,GBT,AXSM,CCXI,CPRX,VERU,TTNP,VRNA,DAWN,LQDA,BCAB,CTIC,AVEO,BLU,GERN,FSTX,TCDA,GTHX,CNCE,IMCR,ALDX,RXDX,MRSN,VERV,CBIO,GOSS,AVTE,ADMA,BMEA,INFI,XENE,VRDN,WVE,SNDX,NTRBW,RLMD,KDNY,DSGN,VYGR,DYN,RAIN,MREO,ACET,SELB,SRPT,TERN,RAPT,NCNA,STSA,PTCT,APLS,RVNC,KRYS,CYTK,VTVT,KZR,CBAY,ALNY,DCPH,ALLO,EIGR,CAPR,IMGN,YMAB,PHAR,SPPI,BCLI,IMTX,FOLD,VIRI,FMTX,RNA,MIST,ENTA,ARDX,KYMR,VIRX,ARQT,KALV,MYOV,ACRS,MIRM,ESPR,RGNX,FGEN,AGEN,VRTX,ARGX,CORT,PBYI,SVRA,ASLN,BCRX,ZIVO,IONS,HRMY,CERE,IPA,BDTX,KNTE,GNFT,SCPH,NUVL,NBIX,BLUE,SNPX,CRDF,MRUS,ABCL,BCTX,ORMP,SAGE,LYEL,LXRX,CHRS,INSM,OYST,AXLA,DBVT,RVMD,DBTX,SNGX,ICPT,PNT,IFRX,MCRB,KNSA,OCUL,NKTX,IMVT,BHVN,RXRX,GALT,LEGN,TVTX,JAZZ,SBTX,SGEN,ZEAL,FIXX,PCVX,VKTX,PSTX,ALVR,PRLD,BMRN,RCKT,APM,PYPD,NTRB,RPRX,GMDA,ACXP,URGN,EWTX,PLX,CLVS,UTHR,BEAM,ITCI,SEEL,PMCB,CSBR,REPL,ETNB,GLTO,KURA,PGEN,NRIX,HALO,XOMAP,SGMO,CLRB,ISEE,GRTS,CRSP,BCDA,IMNM,RLAY,OMER,FENC,GHRS,CDMO,EXEL,GNPX,QURE,SANA,BBIO,INBX,MTNB,CARA,RCUS,CRNX,XNCR,XOMAO,OPT,INMB,SPRB,BPMC,INCY,ATNM,CLDX,CDTX,ADVM,DNLI,GMAB,MDGL,ABIO,ANAB,TBPH,LGND,NVO,CLNN,NGM,RPHM,ITOS,EYPT,LUMO,ASMB,EVAX,BCYC,NVIV,ALXO,FHTX,VERA,AGIO,XRTX,BPTH,MYMD,FREQ,PHAS,PRTK,YMTX,SESN,SRRK,ANNX,AVIR,IMPL,ONCY,NNVC,LYRA,NERV,OGEN,TCRR,CRMD,STOK,NXTC,ADAP,ENLV,PRTC,EDIT,BGNE,VECT,PCSA,FATE,KMPH,TCON,CCCC,MNKD,BCEL,ALKS,ALPN,ICCC,AKTX,ABOS,MBRX,MRNS,AKRO,ARWR,CTXR,ACAD,LCTX,KROS,MORF,CGEM,PRVB,LPTX,ARMP,OCUP,OLMA,PSTV,REGN,KOD,MRTX,BLRX,AUTL,KPTI,GRPH,OMGA,GLPG,CYCN,MTP,BTAI,IPSC,HRTX,GMTX,GANX,ARDS,EVLO,GLYC,CYBN,WINT,LIFE,ADPT,NTLA,XOMA,VCYT,CYCCP,MDWD,FBIOP,ACHL,CVM,ONCT,VIR,SMMT,ABCM,SEER,BLPH,HOWL,ELOX,KRBP,AVXL,EVGN,ALEC,RPTX,CANF,NBY,TARS,DYAI,OVID,ASND,IKNA,PRTA,ABUS,FRLN,MNOV,RLYB,AIKI,MGTX,DARE,CABA,IGMS,GBIO,VNDA,ACIU,INO,TECH,TLSA,MACK,ZLAB,INVA,SLGL,MGTA,CERS,CNTB,STRO,MRNA,VCEL,PRTG,PMVP,RARE,TYME,TGTX,CALT,IMRN,GRAY,COCP,ZNTL,IPHA,LTRN,HCM,BIVI,ALLK,TFFP,IDRA,ARVN,AKUS,ANVS,OCGN,GTBP,BVXV,FBRX,ELDN,AGE,MITO,CLSD,IKT,VSTM,IBIO,TYRA,XERS,VXRT,VBIV,XBIO,CLBS,ATAI,VOR,BNTX,NKTR,JNCE,BLCM,SRNE,PHIO,VYNT,CMMB,CADL,THRX,TARA,EQ,CMRX,RFL,FBIO,ALBO,ONTX,FDMT,IDYA,TSHA,CRIS,CYAD,LGVN,ORIC,ATOS,MTCR,ALZN,IBRX,ZYME,CYCC,MDNA,RIGL,PDSB,VCNX,RANI,ACST,ATHE,IOVA,CERT,FULC,PPBT,ABSI,SRZN,SLS,IMMP,CRVS,HOTH,NYMX,KRON,PRQR,OTLK,VACC,APRE,HEPA,XTLB,PHAT,PASG,ORTX,OPNT,BOLT,ATXI,ARCT,SONN,LABP,AEZS,HOOK,MNMD,AVRO,LIXT,RVPH,CLGN,ERYP,PTIX,STTK,MOR,CKPT,QSI,NOVN,LRMR,SAVA,LBPH,SLN,ANEB,LMNL,SLRX,ADCT,AIM,EDSA,GRCL,AFMD,SYRS,PTGX,ONCS,ONCR,NLSP,ACHV,MBIO,INDP,VRPX,MESO,PHVS,GRTX,MRKR,ROIV,ARTL,GLSI,BYSI,ABEO,RZLT,ACER,IMRA,SNSE,DNA,MEIP,ALGS,GOVX,DMAC,VALN,PULM,SYBX,MRVI,PYXS,FWP,CLLS,FNCH,PIRS,AMRN,ETON,TNGX,CYT,PTN,APLT,IMUX,APVO,KTRA,OCX,APTO,CWBR,CUE,SIOX,TRVN,MOLN,RETA,DFFN,SQZ,ENTX,SWTX,MNPR,CNSP,CTMX,CDXC,AUPH,DTIL,EYEN,XBIT,SURF,CLSN,LVTX,XFOR,ORGS,NUVB,LPCN,CGTX,BLI,AKBA,MGNX,ITRM,SYN,SCPS,INZY,CASI,QLGN,CNTA,IMV,CALA,ATRA,VYNE,SLNO,RGLS,NAUT,INAB,LOGC,TPST,UNCY,UBX,VINC,NBRV,NBTX,SGTX,ENSC,CDXS,ANGN,TIL,HARP,CRBP,NVAX,CGEN,TNYA,PHGE,NRBO,ALNA,CVAC,BNTC,NBSE,PBLA,VRCA,STAB,CDAK,ACOR,ATHX,JSPR,BPTS,MTEM,IVA,TALS,ANPC,NMTR,FUSN,JAGX,GLMD,KALA,AYLA,ATNF,ADTX,XLO,BXRX,UPC,ARAV,ALRN,VLON,NAVB,ENVB,NEXI,HSTO,ATHA,ABVC,SPRO,BTX,EPIX,APTX,XCUR,AMAM,ENOB,RUBY,TENX,PRAX,INM,IMAB,TNXP,TMBR,ADIL,BBI,AGTC,NRXP,AGLE,AMTI,ADAG,AYTU,AMPE,ADXN,KZIA,OTIC,PTE,PALI,EFTR,MIGI,VTGN,VBLT,OBSV,HGEN,CFRX"
99,Auto Parts,Consumer Cyclical,92.78,39,25,18,11,"MOD,CAAS,AXL,XPEL,TEN,SUP,GTX,LKQ,VC,CPS,SRI,INVZ,MNRO,GT,ALSN,DORM,MPAA,LEA,ALV,CVGI,SMP,PLOW,BWA,GNTX,HYLN,ADNT,DAN,WKSP,MGA,STRT,MLR,SYPR,THRM,APTV,KNDI,AEVA,QS,WPRT,XL,HZN,FRSX,UFAB,RMO,LIDR"
100,Computer Hardware,Technology,92.74,38,22,10,17,"SMCI,PSTG,ANET,QUBT,DM,VLD,INVE,CAJ,VJET,HPQ,DAKT,DELL,NTAP,ALOT,OSS,KTCC,NNDM,MICT,STX,SSYS,CRSR,WDC,CAN,SCKT,IONQ,LOGI,DDD,QMCO,TACT,CRCT,EBON"
101,Specialty Retail,Consumer Cyclical,92.64,37,12,11,14,"ELA,MUSA,TA,ASO,YSG,AZO,GPC,WSM,DKS,ORLY,HIBB,ULTA,WINA,GME,TSCO,BLNK,BBW,AAP,CHPT,EYE,KAR,LE,EVGO,JOAN,SBH,HZO,PRTY,WOOF,ODP,BBY,LIVE,FIVE,TCS,CTIB,RH,BGFV,MNSO,HNST,BBWI,BARK,BBBY,CONN,BNED,AAN,FLWS,BQ,BWMX,VLTA,SFIX,REAL,KIRK,KSPN,NVVE,TUEM"
102,Insurance—Property & Casualty,Financial Services,92.64,37,54,61,48,"KNSL,WTM,PGR,Y,DGICB,PLMR,SAFT,NMIH,WRB,UFCS,RLI,DGICA,TRV,SIGI,CB,AXS,PRA,GBLI,THG,L,SIGIP,MKL,UVE,HMN,CNA,CNFR,KMPR,STC,CINF,LMND,KINS,NODK,MCY,HCI,UNAM,HRTG,FNHC,ROOT,UIHC,HALL"
103,Broadcasting,Communication Services,92.36,37,27,39,67,"GSMG,SGA,NXST,FWONK,FWONA,CSSE,TGNA,SIRI,SJ,CSSEP,SBGI,GTN,FOXA,FOX,LSXMB,LSXMA,LSXMK,EVC,NWS,NWSA,SSP,CMLS,UONEK,SALM,UONE,MDIA,FUBO,BBGI,TV,AMCX,CURI,IHRT,AUD"
104,Health Information Services,Healthcare,92.27,35,31,6,8,"SGFY,CNVY,PRVA,ONEM,SLP,EVH,CMAX,STRM,CHNG,PGNY,RCM,CVET,HSTM,ACCD,MTBCP,HQY,VEEV,NXGN,AMWL,PINC,CPSI,MDRX,SDGR,TRHC,FORA,AGTI,PHR,OMCL,ZCMD,MTBC,WORX,TDOC,HCAT,ICAD,NH,SOPH,TXG,SHCR,SY,HCTI,UTRS,GDRX,OPRX,UPH,KERN"
105,Semiconductors,Technology,92.27,35,49,37,51,"SKYT,WOLF,ON,QUIK,TSEM,MRAM,MPWR,RMBS,AOSL,LSCC,CRUS,MTSI,SIMO,VSH,ONTO,AVGO,ADI,AMKR,TXN,VLN,INTT,AVGOP,MCHP,QCOM,DIOD,ALGM,NXPI,ASX,NVEC,SQNS,SLAB,POWI,GSIT,AMD,MRVL,STM,NVDA,TSM,FORM,SWKS,LEDS,MXL,CEVA,SGH,LASR,MU,SMTC,IMOS,QRVO,UMC,HIMX,OIIM,INTC,SYNA,AAOI,PXLW,MX,SITM,EMKR,WISA,WKEY,RKLY"
106,Residential Construction,Consumer Cyclical,91.68,35,49,29,59,"GRBK,CVCO,SKY,LEN,TMHC,DHI,LEGH,NVR,BZH,PHM,TOL,MHO,MTH,LGIH,CCS,KBH,MDC,TPH,HOV,DFH"
107,Travel Services,Consumer Cyclical,91.49,34,20,22,43,"YTRA,MMYT,TCOM,TOUR,TRIP,TNL,BKNG,DESP,TZOO,EXPE,NCLH,LIND,RCL,CCL"
108,Scientific & Technical Instruments,Technology,91.42,33,37,33,16,"CYBE,FCUV,ESE,WATT,ELSE,BNSO,VPG,KEYS,NOVT,SOTK,MVIS,FTV,TDY,TRMB,IIVIP,IIVI,GNSS,ITRI,SMIT,ST,LUNA,GRMN,MKSI,VNT,FARO,MIND,CGNX,MLAB,WRAP,ZEPP,MINDP,VLDR"
109,Aerospace & Defense,Industrials,91.18,33,32,30,49,"ESLT,HII,NOC,AVAV,HEI,GD,AIR,LMT,HXL,TDG,AJRD,BWXT,RTX,LHX,IVAC,TATT,DCO,BA,AXON,NPK,VSEC,POWWP,MRCY,ATRO,RADA,TXT,PKE,WWD,VTSI,BYRN,ERJ,KAMN,POWW,SPR,KTOS,SWBI,RGR,CODA,AIRI,ISSC,TGI,CAE,RKLB,ASTC,DPRO,SPCE,LILM,RDW,SIF,EH,UAVS,LILMW,ASTR"
110,Banks—Diversified,Financial Services,91.09,32,47,64,73,"NWG,HSBC,NTB,EWBC,BMO,RY,WFC,BNS,TD,SMFG,MUFG,CM,UBS,BAC,C,BCS,JPM,BBVA,ING,SAN,CS"
111,Telecom Services,Communication Services,91.06,32,42,56,33,"ASTS,GSAT,PTNR,IRDM,TLK,ATNI,TMUS,GOGO,RDCM,KT,CHT,TU,PHI,FYBR,BCE,USM,AMX,LUMN,AMOV,SJR,T,TDS,TIMB,RADI,SHEN,RBBN,VIV,RCI,SPOK,ORAN,TEO,ATEX,TEF,CCOI,VOD,VZ,CABO,SIFY,CNSL,TKC,OOMA,IDCC,ATUS,IDT,CXDO,SKM,ANTE,TIGO,LILAK,LILA,VEON,VATE,KLR,UCL,COMS"
112,Staffing & Employment Services,Industrials,90.92,31,51,53,60,"CCRN,HSON,JOB,ADP,BBSI,PAYX,NSP,TNET,KFY,DHX,BGSF,BZ,ASGN,MHH,TBI,KELYA,KFRC,KELYB,ZIP,HSII,RHI,IPDN,MAN,HQI,UPWK,RCRT,PIXY,STAF,HHR"
113,Insurance—Diversified,Financial Services,90.52,30,33,47,46,"PFG,EQH,ORI,ESGRO,HIG,IGIC,ESGRP,SLF,GSHD,FGFPP,ESGR,WDH,FGF"
114,"Furnishings, Fixtures & Appliances",Consumer Cyclical,90.24,30,30,17,12,"KEQU,VIRC,BSET,AUVI,AUVIP,LEG,LZB,TILE,LOVE,KBAL,TPX,WHR,AMWD,WEBR,HOFT,FBHS,FLXS,MHK,SNBR,LCUT,NTZ,NVFY,EFOI,PRPL"
115,Insurance—Reinsurance,Financial Services,90.18,29,46,73,80,"RGA,GLRE,RE,MHLD,RNR,OXBR,SPNT"
116,Capital Markets,Financial Services,89.82,29,24,26,51,"SNEX,COWN,LPLA,ATIF,DFIN,HGBL,RJF,FRHC,AC,AMRK,BGCP,PJT,SCHW,LAZ,IBKR,MS,GS,TW,SF,OPY,GBL,FUTU,PIPR,HLI,VIRT,MC,FOCS,NMR,MARA,WHG,PWP,EVR,XP,SIEB,SRL,COHN,TIGR,MKTX,HUT,GHL,CIFR,BITF,BTCS,MFH,EQOS,BTCM"
117,Beverages—Brewers,Consumer Defensive,89.64,28,71,43,61,"TAP,SAM,BUD,FMX,SBEV,CCU"
118,Mortgage Finance,Financial Services,89.63,27,55,42,54,"ASPS,ATAX,OCN,VEL,COOP,HTGC,IOR,ECPG,ESNT,PFSI,EFC,WD,MRCC,RKT,GHLD,HMPT,UWMC,CNF,IMH,TREE,LDI"
119,Information Technology Services,Technology,89.58,27,38,32,32,"IMXI,EXLS,SWCH,JKHY,CD,BR,SAIC,IT,WNS,IBM,HCKT,FISV,CACI,CDW,EPAM,FLYW,G,LDOS,FORTY,IIIV,GDYN,ACN,GIB,SNX,FLT,CSPI,NSIT,NABL,XRX,DLB,INFY,ALYA,FIS,CTLP,CTG,III,CTEK,TLS,ISDR,AFRM,CTSH,NCR,DNB,SABRP,GLG,SABR,RSSS,GB,AI,TDC,CNXC,CNDT,PRTH,DXC,PRFT,DMRC,DTST,CLPS,TTEC,WIT,CLVT,GDS,CYXT,WYY,VNET,RAMP,TWKS,INOD,NXTP,PAY,QIWI,UIS,PSFE,TASK,USIO,AVCT"
120,Drug Manufacturers—General,Healthcare,89.43,26,81,86,59,"LLY,AZN,MRK,BMY,GILD,JNJ,PFE,NVS,OGN,BIIB,GSK,SNY,HZNP,GRFS,CRXT"
121,Medical Care Facilities,Healthcare,89.42,25,37,20,14,"CMPS,ACHC,OSH,OPCH,AMS,ENSG,ADUS,SMTI,LHCG,CCM,HNGR,AMN,NVOS,SEM,GBNH,NHC,CHE,AGL,MODV,TALK,EHC,AVCO,HCA,AMEH,RHE,AMED,DVA,THC,PNTG,MD,CANO,LFST,HCSG,UHS,USPH,SGRY,BKD,CCEL,AIH,JYNT,INNV,SLHG,ICCM,FMS,AVAH,CYH,ATIP,OTRKP,OTRK"
122,Medical Instruments & Supplies,Healthcare,88.99,25,29,15,21,"IRTC,STAA,HAE,DXR,RGEN,BLFS,AKYA,GKOS,LMAT,ISR,BDX,ANGO,MBOT,BDXB,UTMD,RMD,EKSO,PDEX,MMSI,KRMD,STVN,ATRI,NVCR,HOLX,ALC,WST,ATRC,NVST,MASI,FEMY,COO,ISRG,MLSS,ICUI,BAX,POAI,STXS,XRAY,TFX,INFU,OSUR,NURO,HBIO,RVP,OMIC,WRBY,NSTG,NYXH,NEPH,PLSE"
123,Publishing,Communication Services,88.64,24,36,41,66,"SCHL,DALN,PSO,RELX,DJCO,LEE,NYT,EDUC,GCI"
124,Advertising Agencies,Communication Services,88.45,24,13,8,12,"BAOS,CNET,ISIG,FLNT,EEX,QNST,OMC,INUV,CPOP,MCHX,CRTO,IPG,TSQ,XNET,CCO,NCMI,DLX,CMPR,WPP,WIMI,ADV,MGNI,TRKA,TRMR,SRAX,DMS,ICLK,QUOT"
125,Apparel Retail,Consumer Cyclical,88.29,23,4,19,46,"CHS,DBI,GCO,BKE,GES,LULU,TJX,ROST,DXLG,JILL,CRI,GIII,BOOT,ONON,URBN,CATO,SCVL,BURL,PLCE,VSCO,DLTH,ZUMZ,GPS,TLYS,CURV,CTRN,AEO,ANF,EXPR,DBGI"
126,Copper,Basic Materials,88.0,22,24,80,90,"TRQ,FCX,SCCO,ERO,HBM"
127,Resorts & Casinos,Consumer Cyclical,87.99,22,20,22,71,"RRR,LVS,VAC,HGV,BYD,MCRI,MGM,PLYA,FLL,BVH,MTN,GDEN,PENN,WYNN,BALY,CNTY,CZR,MLCO,MSC"
128,Leisure,Consumer Cyclical,87.96,21,17,24,43,"JAKK,FNKO,CLAR,GOLF,XPOF,MAT,PLNT,ELY,SEAS,BC,MANU,FUN,OSW,HAS,JOUT,LTH,SPWH,POOL,ESCA,VSTO,BTN,DS,SIX,YETI,NLS,CUK,AOUT,PTON,BBIG,PLBY,FXLV"
129,Tobacco,Consumer Defensive,87.76,20,59,54,64,"BTI,UVV,PM,MO,VGR,KAVL,TPB,RLX"
130,Real Estate Services,Real Estate,87.19,20,15,14,20,"QK,MAYS,AXR,CSGP,BEKE,TCI,REAX,FRPH,CIGI,RMAX,MLP,MMI,BPYPP,RMR,CBRE,BPYPO,FSV,KW,UK,CSR,CWK,GBR,MDJH,JLL,NMRK,GYRO,EXPI,FTHM,RDFN,OPEN,LODE,DUO,LEJU,NTP,OPAD,DOMA"
131,Consumer Electronics,Technology,87.15,19,21,9,5,"AAPL,VUZI,VOXX,IRBT,HBB,VZIO,KOSS,UTME,MSN,SONY,GPRO,LPL,ATER,UEIC,VIOT,SONO,HEAR"
